pairIndex,fileName,firstPolygonId,secondPolygonId,observed_division,estimated_division,classification,randomScore,threshold_op,threshold,division_timing
34,sample10_22h.json,12,13,1,1,TP,0.7214883401940817,>=,0.05,8
35,sample10_22h.json,12,16,0,0,TN,0.5253543224757259,>=,0.05,-1
36,sample10_22h.json,13,16,0,0,TN,0.31024187555895566,>=,0.05,-1
37,sample10_22h.json,14,16,1,0,FN,0.4858353588317891,>=,0.05,12
38,sample10_22h.json,14,17,0,1,FP,0.8894878343490003,>=,0.05,-1
39,sample10_22h.json,14,20,0,0,TN,0.9340435159562497,>=,0.05,-1
40,sample10_22h.json,14,21,0,0,TN,0.35779519670907023,>=,0.05,-1
41,sample10_22h.json,15,19,0,1,FP,0.5715298307297609,>=,0.05,-1
42,sample10_22h.json,16,21,0,0,TN,0.32186939107594215,>=,0.05,-1
43,sample10_22h.json,17,18,1,0,FN,0.5943000301996968,>=,0.05,8
44,sample10_22h.json,17,20,0,0,TN,0.33791122550713326,>=,0.05,-1
45,sample10_22h.json,17,23,0,0,TN,0.39161900052816123,>=,0.05,-1
46,sample10_22h.json,18,22,0,1,FP,0.8902743520047923,>=,0.05,-1
47,sample10_22h.json,18,23,0,0,TN,0.22715759353337972,>=,0.05,-1
48,sample10_22h.json,18,27,0,0,TN,0.6231871446860424,>=,0.05,-1
49,sample10_22h.json,19,22,0,0,TN,0.08401534358238483,>=,0.05,-1
50,sample10_22h.json,19,24,0,0,TN,0.8326441476533978,>=,0.05,-1
51,sample10_22h.json,19,29,0,0,TN,0.7870983074886834,>=,0.05,-1
52,sample10_22h.json,19,31,0,0,TN,0.23936944299295215,>=,0.05,-1
53,sample10_22h.json,20,21,0,1,FP,0.8764842308107038,>=,0.05,-1
54,sample10_22h.json,20,23,1,0,FN,0.05856803480519435,>=,0.05,4
55,sample10_22h.json,20,26,0,0,TN,0.3361170605456604,>=,0.05,-1
56,sample10_22h.json,20,32,0,0,TN,0.15027946689483906,>=,0.05,-1
57,sample10_22h.json,21,25,0,0,TN,0.450339366649287,>=,0.05,-1
58,sample10_22h.json,21,26,0,0,TN,0.7963242702872942,>=,0.05,-1
59,sample10_22h.json,22,27,0,0,TN,0.23064220899374743,>=,0.05,-1
60,sample10_22h.json,22,29,1,0,FN,0.05202130106440961,>=,0.05,22
61,sample10_22h.json,22,33,0,0,TN,0.4045518398215282,>=,0.05,-1
62,sample10_22h.json,22,37,0,0,TN,0.19851304450925533,>=,0.05,-1
63,sample10_22h.json,23,27,0,0,TN,0.0907530456191219,>=,0.05,-1
64,sample10_22h.json,23,32,0,1,FP,0.5803323859868507,>=,0.05,-1
65,sample10_22h.json,24,30,1,0,FN,0.2986961328189226,>=,0.05,2
66,sample10_22h.json,24,31,0,1,FP,0.6719948779563594,>=,0.05,-1
67,sample10_22h.json,24,36,0,0,TN,0.1995154439682133,>=,0.05,-1
68,sample10_22h.json,25,26,0,1,FP,0.9421131105064978,>=,0.05,-1
69,sample10_22h.json,25,28,1,0,FN,0.36511016824482856,>=,0.05,8
70,sample10_22h.json,26,32,0,0,TN,0.10549527957022953,>=,0.05,-1
71,sample10_22h.json,26,35,0,0,TN,0.6291081515397092,>=,0.05,-1
72,sample10_22h.json,27,32,0,0,TN,0.9271545530678674,>=,0.05,-1
73,sample10_22h.json,27,33,1,0,FN,0.440377154715784,>=,0.05,8
74,sample10_22h.json,27,38,0,1,FP,0.9545904936907372,>=,0.05,-1
75,sample10_22h.json,29,31,0,0,TN,0.499895813687647,>=,0.05,-1
76,sample10_22h.json,29,37,0,0,TN,0.42522862484907553,>=,0.05,-1
77,sample10_22h.json,29,41,0,0,TN,0.6202134520153778,>=,0.05,-1
78,sample10_22h.json,29,43,0,1,FP,0.9950965052353241,>=,0.05,-1
79,sample10_22h.json,30,34,0,1,FP,0.9489436749377653,>=,0.05,-1
80,sample10_22h.json,30,36,0,0,TN,0.4600451393090961,>=,0.05,-1
81,sample10_22h.json,31,36,1,0,FN,0.7577288453082914,>=,0.05,12
82,sample10_22h.json,31,41,0,0,TN,0.49742269548761897,>=,0.05,-1
83,sample10_22h.json,32,35,1,0,FN,0.5293121601967704,>=,0.05,4
84,sample10_22h.json,32,38,0,0,TN,0.7857857007138075,>=,0.05,-1
85,sample10_22h.json,32,40,0,0,TN,0.4146558493556708,>=,0.05,-1
86,sample10_22h.json,33,37,0,1,FP,0.7344835717887294,>=,0.05,-1
87,sample10_22h.json,33,38,0,0,TN,0.7111428779897498,>=,0.05,-1
88,sample10_22h.json,33,42,0,0,TN,0.9320596866133782,>=,0.05,-1
89,sample10_22h.json,34,36,0,0,TN,0.1149326332809052,>=,0.05,-1
90,sample10_22h.json,34,39,0,0,TN,0.7290151170763094,>=,0.05,-1
91,sample10_22h.json,34,45,0,0,TN,0.9274239286245599,>=,0.05,-1
92,sample10_22h.json,34,47,0,0,TN,0.9679261899246464,>=,0.05,-1
93,sample10_22h.json,35,40,0,0,TN,0.014706304965369288,>=,0.05,-1
94,sample10_22h.json,35,44,0,1,FP,0.8636400902455758,>=,0.05,-1
95,sample10_22h.json,36,41,0,1,FP,0.9811950400663443,>=,0.05,-1
96,sample10_22h.json,36,45,0,0,TN,0.9572101796109636,>=,0.05,-1
97,sample10_22h.json,36,46,0,0,TN,0.1487640122324979,>=,0.05,-1
98,sample10_22h.json,37,42,0,0,TN,0.972628813822955,>=,0.05,-1
99,sample10_22h.json,37,43,1,0,FN,0.8899355557205206,>=,0.05,7
100,sample10_22h.json,38,40,1,0,FN,0.8223738275430704,>=,0.05,2
101,sample10_22h.json,38,42,0,0,TN,0.4799879238078322,>=,0.05,-1
102,sample10_22h.json,39,47,0,0,TN,0.23237291963930384,>=,0.05,-1
103,sample10_22h.json,39,49,1,1,TP,0.8018805787183079,>=,0.05,14
104,sample10_22h.json,40,42,0,1,FP,0.9235301597834695,>=,0.05,-1
105,sample10_22h.json,40,44,0,0,TN,0.2661302722922926,>=,0.05,-1
106,sample10_22h.json,40,48,0,0,TN,0.5389344076221869,>=,0.05,-1
107,sample10_22h.json,40,50,0,0,TN,0.4427528289745315,>=,0.05,-1
108,sample10_22h.json,41,43,0,0,TN,0.931017315981155,>=,0.05,-1
109,sample10_22h.json,41,46,1,0,FN,0.040510711188434634,>=,0.05,10
110,sample10_22h.json,42,43,0,0,TN,0.7320061956565608,>=,0.05,-1
111,sample10_22h.json,42,48,1,0,FN,0.6143732469489966,>=,0.05,8
112,sample10_22h.json,43,48,0,0,TN,0.028365365113521057,>=,0.05,-1
113,sample10_22h.json,44,50,0,0,TN,0.7192197728267403,>=,0.05,-1
114,sample10_22h.json,45,46,0,0,TN,0.015991729523571974,>=,0.05,-1
115,sample10_22h.json,45,47,1,1,TP,0.7579510023564281,>=,0.05,12
116,sample10_22h.json,45,51,0,0,TN,0.512758723262078,>=,0.05,-1
117,sample10_22h.json,45,53,0,0,TN,0.9291042207970062,>=,0.05,-1
118,sample10_22h.json,46,51,0,1,FP,0.06608249672407474,>=,0.05,-1
119,sample10_22h.json,47,49,0,0,TN,0.8413172796123832,>=,0.05,-1
120,sample10_22h.json,47,53,0,0,TN,0.0666900087671014,>=,0.05,-1
121,sample10_22h.json,47,54,0,0,TN,0.34430997880412517,>=,0.05,-1
122,sample10_22h.json,48,50,0,0,TN,0.4302987319478333,>=,0.05,-1
123,sample10_22h.json,48,52,0,1,FP,0.9660620807840702,>=,0.05,-1
124,sample10_22h.json,49,54,0,0,TN,0.562231842228457,>=,0.05,-1
125,sample10_22h.json,50,52,1,0,FN,0.25886459317093224,>=,0.05,8
126,sample10_22h.json,51,53,1,0,FN,0.24167571409434496,>=,0.05,7
127,sample10_22h.json,53,54,0,1,FP,0.8881183206591798,>=,0.05,-1
128,sample10_22h.json,55,56,1,1,TP,0.22586942841732438,>=,0.05,7
1,sample10_44h.json,0,1,1,0,FN,0.1245547058352835,>=,0.05,2
2,sample10_44h.json,0,7,0,0,TN,0.2883307570075776,>=,0.05,-1
3,sample10_44h.json,1,3,0,0,TN,0.5861230648127328,>=,0.05,-1
4,sample10_44h.json,1,6,0,0,TN,0.5540905021732678,>=,0.05,-1
5,sample10_44h.json,1,7,0,1,FP,0.8097107759127777,>=,0.05,-1
6,sample10_44h.json,2,3,1,0,FN,0.5604759520061858,>=,0.05,12
7,sample10_44h.json,2,4,0,0,TN,0.2884212144312105,>=,0.05,-1
8,sample10_44h.json,2,9,0,0,TN,0.4128963426808927,>=,0.05,-1
9,sample10_44h.json,2,11,0,0,TN,0.8181209709709104,>=,0.05,-1
10,sample10_44h.json,2,13,0,0,TN,0.6265064624197535,>=,0.05,-1
11,sample10_44h.json,2,14,0,1,FP,0.9590776426974422,>=,0.05,-1
12,sample10_44h.json,3,6,0,0,TN,0.3694044110916809,>=,0.05,-1
13,sample10_44h.json,3,8,0,0,TN,0.5526115105212872,>=,0.05,-1
14,sample10_44h.json,3,9,0,1,FP,0.5939242016131683,>=,0.05,-1
15,sample10_44h.json,4,5,1,1,TP,0.84829120827506,>=,0.05,10
16,sample10_44h.json,4,14,0,0,TN,0.14547353818653175,>=,0.05,-1
17,sample10_44h.json,5,10,0,0,TN,0.40651033674812664,>=,0.05,-1
18,sample10_44h.json,5,14,0,0,TN,0.909958961662297,>=,0.05,-1
19,sample10_44h.json,5,17,0,0,TN,0.043066888568204176,>=,0.05,-1
20,sample10_44h.json,5,19,0,0,TN,0.8227062801815019,>=,0.05,-1
21,sample10_44h.json,6,7,1,0,FN,0.41538403737122465,>=,0.05,2
22,sample10_44h.json,6,8,0,1,FP,0.8298039852781027,>=,0.05,-1
23,sample10_44h.json,6,20,0,0,TN,0.009954560807291957,>=,0.05,-1
24,sample10_44h.json,6,21,0,0,TN,0.36504615775827065,>=,0.05,-1
25,sample10_44h.json,7,18,0,0,TN,0.07863003716563988,>=,0.05,-1
26,sample10_44h.json,7,21,0,0,TN,0.6526145763366384,>=,0.05,-1
27,sample10_44h.json,8,9,1,0,FN,0.2738490985995572,>=,0.05,2
28,sample10_44h.json,8,16,0,0,TN,0.7026520706597863,>=,0.05,-1
29,sample10_44h.json,8,20,0,0,TN,0.9438014269420908,>=,0.05,-1
30,sample10_44h.json,9,11,0,0,TN,0.12681710226124776,>=,0.05,-1
31,sample10_44h.json,9,16,0,0,TN,0.8647782954007741,>=,0.05,-1
32,sample10_44h.json,10,12,1,0,FN,0.059464151600338466,>=,0.05,22
33,sample10_44h.json,10,17,0,0,TN,0.38077050831088943,>=,0.05,-1
34,sample10_44h.json,10,23,0,0,TN,0.42977406117857664,>=,0.05,-1
35,sample10_44h.json,11,13,1,1,TP,0.48884954683346427,>=,0.05,2
36,sample10_44h.json,11,16,0,0,TN,0.9764623219360445,>=,0.05,-1
37,sample10_44h.json,11,27,0,0,TN,0.7756911881018284,>=,0.05,-1
38,sample10_44h.json,11,30,0,0,TN,0.308857362719261,>=,0.05,-1
39,sample10_44h.json,12,15,0,0,TN,0.26983678550080015,>=,0.05,-1
40,sample10_44h.json,12,23,0,1,FP,0.8631202041893178,>=,0.05,-1
41,sample10_44h.json,12,24,0,0,TN,0.8813071727376899,>=,0.05,-1
42,sample10_44h.json,13,14,0,0,TN,0.5107065055436453,>=,0.05,-1
43,sample10_44h.json,13,27,0,0,TN,0.34429573096232524,>=,0.05,-1
44,sample10_44h.json,14,19,0,0,TN,0.9949173481609178,>=,0.05,-1
45,sample10_44h.json,14,25,0,0,TN,0.3159435453677002,>=,0.05,-1
46,sample10_44h.json,14,27,0,0,TN,0.18271237892656245,>=,0.05,-1
47,sample10_44h.json,15,22,1,1,TP,0.8800981213040697,>=,0.05,8
48,sample10_44h.json,15,24,0,0,TN,0.812335398111254,>=,0.05,-1
49,sample10_44h.json,16,20,0,0,TN,0.6678894055713512,>=,0.05,-1
50,sample10_44h.json,16,29,0,1,FP,0.9584136317779519,>=,0.05,-1
51,sample10_44h.json,16,30,0,0,TN,0.9257145772144187,>=,0.05,-1
52,sample10_44h.json,17,19,1,1,TP,0.7482485033017541,>=,0.05,10
53,sample10_44h.json,17,23,0,0,TN,0.8607014095476777,>=,0.05,-1
54,sample10_44h.json,17,31,0,0,TN,0.24714674032210748,>=,0.05,-1
55,sample10_44h.json,18,21,0,0,TN,0.1412465569010316,>=,0.05,-1
56,sample10_44h.json,18,26,0,0,TN,0.670061849314936,>=,0.05,-1
57,sample10_44h.json,18,28,0,1,FP,0.7146185366547527,>=,0.05,-1
58,sample10_44h.json,19,25,0,0,TN,0.16705292878227218,>=,0.05,-1
59,sample10_44h.json,19,31,0,0,TN,0.395557273104876,>=,0.05,-1
60,sample10_44h.json,20,21,1,1,TP,0.9102557662160548,>=,0.05,2
61,sample10_44h.json,20,29,0,0,TN,0.561400767550223,>=,0.05,-1
62,sample10_44h.json,21,26,0,0,TN,0.5783359149262727,>=,0.05,-1
63,sample10_44h.json,21,29,0,0,TN,0.19412977289079358,>=,0.05,-1
64,sample10_44h.json,22,24,0,0,TN,0.5260222486178752,>=,0.05,-1
65,sample10_44h.json,22,32,0,0,TN,0.5234347273949199,>=,0.05,-1
66,sample10_44h.json,22,33,0,0,TN,0.08893564024627199,>=,0.05,-1
67,sample10_44h.json,23,24,0,0,TN,0.9819426931267062,>=,0.05,-1
68,sample10_44h.json,23,31,0,0,TN,0.5713956004557744,>=,0.05,-1
69,sample10_44h.json,23,34,1,0,FN,0.006408882664310167,>=,0.05,10
70,sample10_44h.json,23,38,0,0,TN,0.7726492012253886,>=,0.05,-1
71,sample10_44h.json,24,32,1,0,FN,0.9782657138401457,>=,0.05,22
72,sample10_44h.json,24,34,0,1,FP,0.5898700283209505,>=,0.05,-1
73,sample10_44h.json,25,27,0,0,TN,0.319681636282665,>=,0.05,-1
74,sample10_44h.json,25,31,1,0,FN,0.1875077157277849,>=,0.05,6
75,sample10_44h.json,25,39,0,1,FP,0.6725266339168693,>=,0.05,-1
76,sample10_44h.json,25,43,0,0,TN,0.19510739845680503,>=,0.05,-1
77,sample10_44h.json,26,28,1,0,FN,0.5776878925178592,>=,0.05,4
78,sample10_44h.json,26,29,0,0,TN,0.6022391763796258,>=,0.05,-1
79,sample10_44h.json,26,37,0,1,FP,0.962423093124381,>=,0.05,-1
80,sample10_44h.json,26,42,0,0,TN,0.07226526552987678,>=,0.05,-1
81,sample10_44h.json,26,46,0,0,TN,0.4999728236586185,>=,0.05,-1
82,sample10_44h.json,27,30,0,1,FP,0.7440974792826482,>=,0.05,-1
83,sample10_44h.json,27,36,1,0,FN,0.1772267404746588,>=,0.05,14
84,sample10_44h.json,27,39,0,0,TN,0.3880667317845192,>=,0.05,-1
85,sample10_44h.json,27,45,0,0,TN,0.06289549845497133,>=,0.05,-1
86,sample10_44h.json,28,42,0,0,TN,0.7258808637757768,>=,0.05,-1
87,sample10_44h.json,29,30,1,0,FN,0.08776788675948677,>=,0.05,10
88,sample10_44h.json,29,37,0,0,TN,0.3950917083579676,>=,0.05,-1
89,sample10_44h.json,29,41,0,0,TN,0.8735226311207321,>=,0.05,-1
90,sample10_44h.json,30,36,0,0,TN,0.4723003367500115,>=,0.05,-1
91,sample10_44h.json,30,41,0,0,TN,0.9126219336408856,>=,0.05,-1
92,sample10_44h.json,31,38,0,0,TN,0.7659171177388724,>=,0.05,-1
93,sample10_44h.json,31,43,0,1,FP,0.9153239601117659,>=,0.05,-1
94,sample10_44h.json,32,33,0,0,TN,0.12740300904890633,>=,0.05,-1
95,sample10_44h.json,32,34,0,0,TN,0.07356290533063203,>=,0.05,-1
96,sample10_44h.json,32,44,0,0,TN,0.07032625356921807,>=,0.05,-1
97,sample10_44h.json,32,48,0,1,FP,0.8688542943473193,>=,0.05,-1
98,sample10_44h.json,33,35,1,1,TP,0.6340699793474432,>=,0.05,6
99,sample10_44h.json,33,44,0,0,TN,0.496571693798853,>=,0.05,-1
100,sample10_44h.json,33,47,0,0,TN,0.16354341619648027,>=,0.05,-1
101,sample10_44h.json,34,38,0,0,TN,0.6737334377272737,>=,0.05,-1
102,sample10_44h.json,34,48,0,0,TN,0.318017387845798,>=,0.05,-1
103,sample10_44h.json,35,40,0,0,TN,0.7108798632659449,>=,0.05,-1
104,sample10_44h.json,35,47,0,0,TN,0.4603553288673248,>=,0.05,-1
105,sample10_44h.json,35,54,0,0,TN,0.5074698605445271,>=,0.05,-1
106,sample10_44h.json,36,41,0,1,FP,0.7896657324598704,>=,0.05,-1
107,sample10_44h.json,36,45,0,0,TN,0.09274547552338075,>=,0.05,-1
108,sample10_44h.json,36,49,0,0,TN,0.5787585033235025,>=,0.05,-1
109,sample10_44h.json,37,41,1,0,FN,0.19723494729586855,>=,0.05,10
110,sample10_44h.json,37,46,0,0,TN,0.8081367518135681,>=,0.05,-1
111,sample10_44h.json,37,50,0,0,TN,0.4888460361292599,>=,0.05,-1
112,sample10_44h.json,38,43,1,0,FN,0.9886953333678197,>=,0.05,12
113,sample10_44h.json,38,48,0,0,TN,0.18294332467571872,>=,0.05,-1
114,sample10_44h.json,38,56,0,1,FP,0.9630191401242673,>=,0.05,-1
115,sample10_44h.json,38,57,0,0,TN,0.800917036608609,>=,0.05,-1
116,sample10_44h.json,38,60,0,0,TN,0.4812604965752686,>=,0.05,-1
117,sample10_44h.json,39,43,0,0,TN,0.8135340641796355,>=,0.05,-1
118,sample10_44h.json,39,45,1,0,FN,0.6028489052411163,>=,0.05,8
119,sample10_44h.json,39,52,0,0,TN,0.6551210639913803,>=,0.05,-1
120,sample10_44h.json,40,51,1,1,TP,0.9136907627073889,>=,0.05,8
121,sample10_44h.json,40,54,0,0,TN,0.06527041641129139,>=,0.05,-1
122,sample10_44h.json,41,49,0,0,TN,0.8349882039584006,>=,0.05,-1
123,sample10_44h.json,41,50,0,0,TN,0.3818147799662388,>=,0.05,-1
124,sample10_44h.json,41,53,0,0,TN,0.3255456161007044,>=,0.05,-1
125,sample10_44h.json,42,46,1,1,TP,0.9940267712099843,>=,0.05,4
126,sample10_44h.json,43,52,0,0,TN,0.7811905020763782,>=,0.05,-1
127,sample10_44h.json,43,55,0,0,TN,0.48553513877958776,>=,0.05,-1
128,sample10_44h.json,43,56,0,0,TN,0.4226283964247812,>=,0.05,-1
129,sample10_44h.json,44,47,1,1,TP,0.8775289058717961,>=,0.05,2
130,sample10_44h.json,44,48,0,0,TN,0.08681487221489415,>=,0.05,-1
131,sample10_44h.json,44,59,0,0,TN,0.708418756913866,>=,0.05,-1
132,sample10_44h.json,45,49,0,1,FP,0.789154623705146,>=,0.05,-1
133,sample10_44h.json,45,52,0,0,TN,0.7991963797161148,>=,0.05,-1
134,sample10_44h.json,45,58,0,0,TN,0.3222867247398318,>=,0.05,-1
135,sample10_44h.json,46,50,0,0,TN,0.7966391827460546,>=,0.05,-1
136,sample10_44h.json,47,54,0,0,TN,0.22532844187566514,>=,0.05,-1
137,sample10_44h.json,47,59,0,0,TN,0.3623079504845691,>=,0.05,-1
138,sample10_44h.json,47,68,0,0,TN,0.41744811220437983,>=,0.05,-1
139,sample10_44h.json,47,172,0,0,TN,0.5414099836301646,>=,0.05,-1
140,sample10_44h.json,48,59,1,0,FN,0.11261366554055718,>=,0.05,12
141,sample10_44h.json,48,60,0,0,TN,0.40694780063930613,>=,0.05,-1
142,sample10_44h.json,48,64,0,0,TN,0.0003006901069229073,>=,0.05,-1
143,sample10_44h.json,49,53,0,0,TN,0.744380726347399,>=,0.05,-1
144,sample10_44h.json,49,58,0,0,TN,0.851875912234257,>=,0.05,-1
145,sample10_44h.json,49,65,0,0,TN,0.13893167912019755,>=,0.05,-1
146,sample10_44h.json,50,53,0,0,TN,0.7037857692667978,>=,0.05,-1
147,sample10_44h.json,50,61,0,1,FP,0.8211030883946387,>=,0.05,-1
148,sample10_44h.json,51,54,0,0,TN,0.9818283228717938,>=,0.05,-1
149,sample10_44h.json,52,55,1,0,FN,0.8437905623687267,>=,0.05,6
150,sample10_44h.json,52,58,0,0,TN,0.42410648544401286,>=,0.05,-1
151,sample10_44h.json,52,170,0,1,FP,0.9796887085096565,>=,0.05,-1
152,sample10_44h.json,52,171,0,0,TN,0.9739844048523552,>=,0.05,-1
153,sample10_44h.json,53,61,1,0,FN,0.503676979200579,>=,0.05,8
154,sample10_44h.json,53,65,0,1,FP,0.7534465385839052,>=,0.05,-1
155,sample10_44h.json,54,68,0,0,TN,0.9138376676731629,>=,0.05,-1
156,sample10_44h.json,54,77,0,0,TN,0.47614707196875306,>=,0.05,-1
157,sample10_44h.json,54,86,0,0,TN,0.8637862410970849,>=,0.05,-1
158,sample10_44h.json,54,172,0,1,FP,0.7015685660618728,>=,0.05,-1
159,sample10_44h.json,55,56,0,0,TN,0.2939242559745576,>=,0.05,-1
160,sample10_44h.json,55,67,0,1,FP,0.7676522699834736,>=,0.05,-1
161,sample10_44h.json,55,69,0,0,TN,0.5706847858594991,>=,0.05,-1
162,sample10_44h.json,55,171,0,0,TN,0.09384515343330624,>=,0.05,-1
163,sample10_44h.json,56,57,1,0,FN,0.3913804263046642,>=,0.05,2
164,sample10_44h.json,56,67,0,0,TN,0.07374101339780592,>=,0.05,-1
165,sample10_44h.json,56,71,0,0,TN,0.4761669632169956,>=,0.05,-1
166,sample10_44h.json,56,74,0,0,TN,0.4285396081429238,>=,0.05,-1
167,sample10_44h.json,57,60,0,0,TN,0.42373744297044735,>=,0.05,-1
168,sample10_44h.json,57,74,0,1,FP,0.5863003535907844,>=,0.05,-1
169,sample10_44h.json,58,65,1,0,FN,0.12269066017607344,>=,0.05,10
170,sample10_44h.json,58,76,0,1,FP,0.9337689099568427,>=,0.05,-1
171,sample10_44h.json,58,170,0,0,TN,0.684050448075033,>=,0.05,-1
172,sample10_44h.json,59,64,0,0,TN,0.8237813583927717,>=,0.05,-1
173,sample10_44h.json,59,68,0,1,FP,0.8968012322637599,>=,0.05,-1
174,sample10_44h.json,59,78,0,0,TN,0.5833200469234759,>=,0.05,-1
175,sample10_44h.json,60,64,1,0,FN,0.0402182209046007,>=,0.05,6
176,sample10_44h.json,60,74,0,0,TN,0.711486824117758,>=,0.05,-1
177,sample10_44h.json,60,81,0,0,TN,0.5690258542633582,>=,0.05,-1
178,sample10_44h.json,60,83,0,1,FP,0.8259572221703992,>=,0.05,-1
179,sample10_44h.json,61,65,0,0,TN,0.5321604734743441,>=,0.05,-1
180,sample10_44h.json,63,66,1,1,TP,0.8132440953641924,>=,0.05,22
181,sample10_44h.json,64,78,0,1,FP,0.9970102930724918,>=,0.05,-1
182,sample10_44h.json,64,81,0,0,TN,0.35055481136788813,>=,0.05,-1
183,sample10_44h.json,65,76,0,0,TN,0.1710214400206741,>=,0.05,-1
184,sample10_44h.json,66,75,0,0,TN,0.3916747994539028,>=,0.05,-1
185,sample10_44h.json,66,79,0,0,TN,0.7530499898656764,>=,0.05,-1
186,sample10_44h.json,66,80,0,0,TN,0.43922893185830647,>=,0.05,-1
187,sample10_44h.json,67,69,1,0,FN,0.5883801094292148,>=,0.05,6
188,sample10_44h.json,67,71,0,0,TN,0.12735847192167105,>=,0.05,-1
189,sample10_44h.json,68,78,0,0,TN,0.7261235109339803,>=,0.05,-1
190,sample10_44h.json,68,86,0,0,TN,0.28008240186649946,>=,0.05,-1
191,sample10_44h.json,68,96,0,0,TN,0.19061756040401823,>=,0.05,-1
192,sample10_44h.json,68,100,0,0,TN,0.8629499985831945,>=,0.05,-1
193,sample10_44h.json,68,172,0,0,TN,0.5644128211205941,>=,0.05,-1
194,sample10_44h.json,69,71,0,0,TN,0.48449894234625035,>=,0.05,-1
195,sample10_44h.json,69,84,0,0,TN,0.8988237652484845,>=,0.05,-1
196,sample10_44h.json,69,89,0,0,TN,0.08601243606100262,>=,0.05,-1
197,sample10_44h.json,69,171,0,1,FP,0.6961544503408927,>=,0.05,-1
198,sample10_44h.json,71,74,1,0,FN,0.32798228976460253,>=,0.05,4
199,sample10_44h.json,71,88,0,0,TN,0.17540974998508108,>=,0.05,-1
200,sample10_44h.json,71,89,0,1,FP,0.6747986499672789,>=,0.05,-1
201,sample10_44h.json,74,83,0,0,TN,0.3628219508629361,>=,0.05,-1
202,sample10_44h.json,74,88,0,0,TN,0.32989583249393584,>=,0.05,-1
203,sample10_44h.json,75,80,0,1,FP,0.9436777652291878,>=,0.05,-1
204,sample10_44h.json,75,82,1,0,FN,0.19929834067948615,>=,0.05,2
205,sample10_44h.json,75,94,0,0,TN,0.512173657837735,>=,0.05,-1
206,sample10_44h.json,76,85,0,0,TN,0.024013200671349266,>=,0.05,-1
207,sample10_44h.json,76,87,0,0,TN,0.16336809113695616,>=,0.05,-1
208,sample10_44h.json,76,93,0,0,TN,0.8834187336335619,>=,0.05,-1
209,sample10_44h.json,76,170,0,0,TN,0.7892475482526763,>=,0.05,-1
210,sample10_44h.json,77,86,0,1,FP,0.5568354900539902,>=,0.05,-1
211,sample10_44h.json,77,90,0,0,TN,0.22245339599136027,>=,0.05,-1
212,sample10_44h.json,77,102,0,0,TN,0.5577475826213064,>=,0.05,-1
